Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Profit_Margin_Pct,Delivery_Days,Discount_Band,Order_Year,Order_Month,Order_Month_Name,Season,Is_Loss,Margin_Band,Sales_Bucket,Revenue_per_Unit,Profit_per_Unit,Discount_Amount,Ship_Speed
1,CA-2016-152156,08/11/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,16,3,No Discount,2016,11,Nov,Fall,Profit,Medium (10-20%),Medium ($200-500),130.98,20.96,0,Standard
2,CA-2016-152156,08/11/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,30,3,No Discount,2016,11,Nov,Fall,Profit,High (>=20%),Large ($500-1K),243.98,73.19,0,Standard
3,CA-2016-138688,12/06/2016,16/06/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62,2,0,6.8714,47,4,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),7.31,3.44,0,Standard
4,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,-40,7,High (41%+),2015,10,Oct,Fall,Loss,Loss,Large ($500-1K),191.52,-76.61,430.91,Economy
5,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,11.25,7,Low (1-20%),2015,10,Oct,Fall,Profit,Medium (10-20%),Micro (<$50),11.18,1.26,4.47,Economy
6,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,29,5,No Discount,2014,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),6.98,2.02,0,Economy
7,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656,27,5,No Discount,2014,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),1.82,0.49,0,Economy
8,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 Ip Phone Voip Phone,907.152,6,0.2,90.7152,10,5,Low (1-20%),2014,6,Jun,Summer,Profit,Medium (10-20%),Large ($500-1K),151.19,15.12,181.43,Economy
9,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,18.504,3,0.2,5.7825,31.25,5,Low (1-20%),2014,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),6.17,1.93,3.7,Economy
10,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9,5,0,34.47,30,5,No Discount,2014,6,Jun,Summer,Profit,High (>=20%),Small ($50-200),22.98,6.89,0,Economy
11,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5,5,Low (1-20%),2014,6,Jun,Summer,Profit,Low (0-10%),XL (>$1K),189.58,9.48,341.24,Economy
12,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference Phone - Charcoal Black,911.424,4,0.2,68.3568,7.5,5,Low (1-20%),2014,6,Jun,Summer,Profit,Low (0-10%),Large ($500-1K),227.86,17.09,182.28,Economy
13,CA-2017-114412,15/04/2017,20/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,35,5,Low (1-20%),2017,4,Apr,Spring,Profit,High (>=20%),Micro (<$50),5.18,1.81,3.11,Economy
14,CA-2016-161389,05/12/2016,10/12/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,32.5,5,Low (1-20%),2016,12,Dec,Winter,Profit,High (>=20%),Medium ($200-500),135.99,44.2,81.6,Economy
15,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81,5,0.8,-123.858,-180,4,High (41%+),2015,11,Nov,Fall,Loss,Loss,Small ($50-200),13.76,-24.77,55.05,Economy
16,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,-150,4,High (41%+),2015,11,Nov,Fall,Loss,Loss,Micro (<$50),0.85,-1.27,2.04,Economy
17,CA-2014-105893,11/11/2014,18/11/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",665.88,6,0,13.3176,2,7,No Discount,2014,11,Nov,Fall,Profit,Low (0-10%),Large ($500-1K),110.98,2.22,0,Economy
18,CA-2014-167164,13/05/2014,15/05/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99,18,2,No Discount,2014,5,May,Spring,Profit,Medium (10-20%),Small ($50-200),27.75,5,0,Standard
19,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,29,5,No Discount,2014,8,Aug,Summer,Profit,High (>=20%),Micro (<$50),4.28,1.24,0,Standard
